2020-07-31 21:23:54,955 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Fri Jul 31 21:23:54 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-07-31 21:23:56,666 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:23:56,995 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-07-31 21:23:57,168 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2020-07-31 21:23:57,384 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:6c0ba041a751-39671-1596230637199-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:23:57,451 | INFO  | Listening for connections at: tcp://6c0ba041a751:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:23:57,455 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:23:57,464 | INFO  | Listening for connections at: amqp://6c0ba041a751:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:23:57,467 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:23:57,475 | INFO  | Listening for connections at: stomp://6c0ba041a751:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:23:57,477 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:23:57,485 | INFO  | Listening for connections at: mqtt://6c0ba041a751:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:23:57,487 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
