2020-07-31 21:25:35,708 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Fri Jul 31 21:25:35 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-07-31 21:25:37,213 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:25:37,520 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-07-31 21:25:37,714 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2020-07-31 21:25:37,904 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:b7e15a6ffe81-40053-1596230737741-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:25:37,951 | INFO  | Listening for connections at: tcp://b7e15a6ffe81:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:25:37,953 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:25:37,958 | INFO  | Listening for connections at: amqp://b7e15a6ffe81:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:25:37,960 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:25:37,989 | INFO  | Listening for connections at: stomp://b7e15a6ffe81:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:25:37,992 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:25:37,999 | INFO  | Listening for connections at: mqtt://b7e15a6ffe81:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 21:25:38,001 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:25:38,321 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2020-07-31 21:25:38,405 | INFO  | Listening for connections at ws://b7e15a6ffe81:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-07-31 21:25:38,407 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 21:25:38,409 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:b7e15a6ffe81-40053-1596230737741-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:25:38,412 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:25:38,415 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 32905 mb of usable space. - resetting to maximum available disk space: 32905 mb | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:25:38,417 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /data/activemq/localhost only has 32905 mb of usable space. - resetting to maximum available disk space: 32905 mb | org.apache.activemq.broker.BrokerService | main
2020-07-31 21:25:39,286 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2020-07-31 21:25:39,595 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2020-07-31 21:25:39,596 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2020-07-31 21:25:39,682 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-07-31 21:25:40,003 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2020-07-31 21:25:40,100 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2020-07-31 22:31:54,973 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Fri Jul 31 22:31:54 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-07-31 22:31:56,537 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-07-31 22:31:56,888 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-07-31 22:31:57,103 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2020-07-31 22:31:57,298 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:ae2c510df21f-45713-1596234717135-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-07-31 22:31:57,349 | INFO  | Listening for connections at: tcp://ae2c510df21f:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 22:31:57,352 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 22:31:57,359 | INFO  | Listening for connections at: amqp://ae2c510df21f:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 22:31:57,367 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 22:31:57,373 | INFO  | Listening for connections at: stomp://ae2c510df21f:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 22:31:57,375 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 22:31:57,381 | INFO  | Listening for connections at: mqtt://ae2c510df21f:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-07-31 22:31:57,384 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 22:31:57,731 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2020-07-31 22:31:57,821 | INFO  | Listening for connections at ws://ae2c510df21f:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-07-31 22:31:57,823 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-07-31 22:31:57,825 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:ae2c510df21f-45713-1596234717135-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-07-31 22:31:57,829 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
